time/total_timesteps,time/fps,time/episodes,time/time_elapsed,eval/mean_reward,eval/mean_ep_length,train/ent_coef_loss,train/ent_coef,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
8262,1647,1296,5,,,,,,,,
8291,1650,1300,5,,,,,,,,
8300,,,,-6.304723000000001,8.2,,,,,,
8321,1642,1304,5,,,,,,,,
8355,1646,1308,5,,,,,,,,
8372,1648,1312,5,,,,,,,,
8394,1650,1316,5,,,,,,,,
8400,,,,-4.1400792,6.6,,,,,,
8422,1643,1320,5,,,,,,,,
8445,1646,1324,5,,,,,,,,
8475,1649,1328,5,,,,,,,,
8490,1650,1332,5,,,,,,,,
8500,,,,-3.8056298999999996,7.4,,,,,,
8518,1643,1336,5,,,,,,,,
8541,1645,1340,5,,,,,,,,
8562,1647,1344,5,,,,,,,,
8580,1649,1348,5,,,,,,,,
8600,,,,-5.669838199999999,8.2,,,,,,
8612,1641,1352,5,,,,,,,,
8646,1645,1356,5,,,,,,,,
8667,1647,1360,5,,,,,,,,
8700,,,,-3.6302770000000004,6.1,,,,,,
8701,1642,1364,5,,,,,,,,
8721,1644,1368,5,,,,,,,,
8749,1647,1372,5,,,,,,,,
8767,1649,1376,5,,,,,,,,
8800,,,,-5.1334609,7.4,,,,,,
8801,1642,1380,5,,,,,,,,
8823,1645,1384,5,,,,,,,,
8839,1646,1388,5,,,,,,,,
8862,1648,1392,5,,,,,,,,
8889,1651,1396,5,,,,,,,,
8900,,,,-4.9810032,7.4,,,,,,
8917,1644,1400,5,,,,,,,,
8929,1645,1404,5,,,,,,,,
8954,1647,1408,5,,,,,,,,
8987,1651,1412,5,,,,,,,,
9000,,,,-4.9134083,6.9,,,,,,
9018,1645,1416,5,,,,,,,,
9046,1648,1420,5,,,,,,,,
9075,1651,1424,5,,,,,,,,
9100,,,,-5.732061,8.2,,,,,,
9111,1644,1428,5,,,,,,,,
9134,1646,1432,5,,,,,,,,
9162,1649,1436,5,,,,,,,,
9189,1652,1440,5,,,,,,,,
9200,,,,-6.0466137,9.0,,,,,,
9212,1643,1444,5,,,,,,,,
9232,1645,1448,5,,,,,,,,
9258,1648,1452,5,,,,,,,,
9280,1650,1456,5,,,,,,,,
9300,,,,-5.9018215000000005,8.2,,,,,,
9311,1642,1460,5,,,,,,,,
9340,1645,1464,5,,,,,,,,
9360,1647,1468,5,,,,,,,,
9386,1650,1472,5,,,,,,,,
9400,,,,-6.283606400000001,8.2,,,,,,
9416,1643,1476,5,,,,,,,,
9442,1645,1480,5,,,,,,,,
9463,1647,1484,5,,,,,,,,
9491,1650,1488,5,,,,,,,,
9500,,,,-6.1680206,8.2,,,,,,
9512,1642,1492,5,,,,,,,,
9531,1643,1496,5,,,,,,,,
9566,1647,1500,5,,,,,,,,
