#{"t_start": 1735015677.8548002, "env_id": "GraspEnv_v3"}
r,l,t
-2.930887,9,8.649001
-7.260561,9,8.657999
-4.556316,9,8.666027
-5.263936,9,8.673001
-6.241838,9,8.679997
-4.181696,9,8.687025
-8.970905,9,8.694001
-2.401258,9,8.701054
-7.593403,9,8.708046
-4.142283,9,8.76056
0.902172,1,8.76256
-7.299238,9,8.771564
-6.182694,9,8.77956
-0.257389,6,8.784555
-4.402662,9,8.791555
-6.808302,9,8.798629
0.917333,1,8.800638
-4.983924,9,8.807624
-7.271699,9,8.814197
-5.329092,9,8.865302
-8.729322,9,8.873252
-3.932609,9,8.88129
0.814849,1,8.883258
-2.959995,9,8.890294
-8.955945,9,8.897427
-8.612376,9,8.905424
-2.71991,9,8.912206
-7.5769,9,8.919212
-7.143672,9,8.926205
-7.668352,9,8.983142
-5.917647,9,8.992155
-7.104834,9,9.000178
-3.007051,9,9.00721
-8.547978,9,9.014832
-6.695958,9,9.021838
-7.66229,9,9.028903
-7.53402,9,9.035901
-7.338828,9,9.042904
-7.557493,9,9.048901
-8.532937,9,9.09904
0.831452,1,9.101031
-8.002075,9,9.109046
-6.864464,9,9.115819
-6.413444,9,9.123826
0.974973,1,9.125826
0.995266,1,9.126828
-7.047551,9,9.133816
-0.632635,3,9.136792
0.85101,1,9.138824
-8.515066,9,9.190825
-5.421775,9,9.198961
-5.853627,9,9.206969
0.822039,1,9.208967
-8.940459,9,9.216734
-5.747118,9,9.22474
-7.68333,9,9.230739
-6.69043,9,9.238737
-4.789636,9,9.245744
-7.333575,9,9.253712
-5.97834,9,9.31473
-6.079713,9,9.322714
-8.63121,9,9.332717
-8.337847,9,9.340719
-6.817083,9,9.347729
-8.091973,9,9.354717
-6.068748,9,9.361714
-5.836605,9,9.370707
-0.281324,4,9.374717
-5.476274,9,9.382708
-3.68754,9,9.438595
-8.272515,9,9.446633
-7.718369,9,9.454634
-4.692316,9,9.461627
-3.231167,9,9.468638
-5.733799,9,9.475632
-4.601139,9,9.482641
0.238391,3,9.485634
-6.922734,9,9.495782
-8.381939,9,9.50276
-7.365569,9,9.558549
0.956207,1,9.560553
-3.755706,9,9.568554
-6.699743,9,9.575555
-8.278983,9,9.582546
0.962079,1,9.584556
