time/episodes,time/time_elapsed,time/total_timesteps,time/fps,eval/mean_ep_length,eval/mean_reward,train/ent_coef,train/n_updates,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/actor_loss
920,23,7141,303,,,,,,,,
924,23,7188,305,,,,,,,,
,,7200,,10.2,-6.4450731,,,,,,
928,23,7235,302,,,,,,,,
932,23,7274,303,,,,,,,,
,,7300,,9.3,-6.0821237,,,,,,
936,24,7303,300,,,,,,,,
940,24,7356,302,,,,,,,,
944,24,7388,303,,,,,,,,
,,7400,,9.6,-6.293722699999999,,,,,,
948,24,7420,300,,,,,,,,
952,24,7440,300,,,,,,,,
956,24,7463,301,,,,,,,,
960,24,7474,301,,,,,,,,
,,7500,,6.0,-3.556488399999999,,,,,,
964,25,7509,299,,,,,,,,
968,25,7554,301,,,,,,,,
972,25,7594,302,,,,,,,,
,,7600,,6.4,-3.1448291,,,,,,
976,25,7637,300,,,,,,,,
980,25,7668,301,,,,,,,,
,,7700,,8.5,-4.709879000000001,,,,,,
984,25,7709,299,,,,,,,,
988,25,7725,299,,,,,,,,
992,25,7741,300,,,,,,,,
996,25,7761,300,,,,,,,,
1000,25,7794,301,,,,,,,,
,,7800,,8.7,-5.391371299999999,,,,,,
1004,26,7821,299,,,,,,,,
1008,26,7835,299,,,,,,,,
1012,26,7867,300,,,,,,,,
1016,26,7894,301,,,,,,,,
,,7900,,5.9,-2.7262076,,,,,,
1020,26,7936,300,,,,,,,,
1024,26,7976,301,,,,,,,,
,,8000,,8.2,-5.7803892999999995,,,,,,
1028,26,8013,299,,,,,,,,
1032,26,8055,300,,,,,,,,
1036,26,8093,301,,,,,,,,
,,8100,,7.4,-4.0129079,,,,,,
1040,27,8125,299,,,,,,,,
1044,27,8163,300,,,,,,,,
1048,27,8184,301,,,,,,,,
,,8200,,8.8,-5.4185264,,,,,,
1052,27,8223,298,,,,,,,,
1056,27,8256,299,,,,,,,,
1060,27,8279,300,,,,,,,,
,,8300,,6.4,-3.1141726,,,,,,
1064,27,8312,298,,,,,,,,
1068,27,8338,299,,,,,,,,
1072,27,8370,300,,,,,,,,
,,8400,,9.1,-6.884803299999999,,,,,,
1076,28,8405,297,,,,,,,,
1080,28,8449,298,,,,,,,,
1084,28,8468,299,,,,,,,,
,,8500,,6.8,-3.6419234000000005,,,,,,
1088,28,8513,297,,,,,,,,
1092,28,8545,298,,,,,,,,
1096,28,8586,299,,,,,,,,
,,8600,,8.2,-5.583390700000001,,,,,,
1100,28,8606,296,,,,,,,,
1104,29,8631,297,,,,,,,,
1108,29,8666,298,,,,,,,,
1112,29,8675,298,,,,,,,,
,,8700,,9.8,-6.4928965000000005,,,,,,
1116,29,8717,295,,,,,,,,
1120,29,8759,297,,,,,,,,
1124,29,8771,297,,,,,,,,
,,8800,,9.2,-6.3363917999999995,,,,,,
1128,29,8805,294,,,,,,,,
1132,29,8848,295,,,,,,,,
1136,29,8887,296,,,,,,,,
,,8900,,9.3,-6.5710315999999995,,,,,,
1140,30,8908,293,,,,,,,,
1144,30,8922,294,,,,,,,,
1148,30,8951,294,,,,,,,,
1152,30,8991,296,,,,,,,,
,,9000,,13.4,-10.5395663,,,,,,
1156,30,9038,292,,,,,,,,
1160,30,9076,293,,,,,,,,
,,9100,,5.3,-1.9641653,,,,,,
1164,31,9123,292,,,,,,,,
1168,31,9141,293,,,,,,,,
1172,31,9175,294,,,,,,,,
1176,31,9198,294,,,,,,,,
,,9200,,8.8,-5.216477599999999,,,,,,
1180,31,9242,292,,,,,,,,
1184,31,9294,294,,,,,,,,
,,9300,,6.0,-3.1430758,,,,,,
1188,31,9327,292,,,,,,,,
1192,31,9368,293,,,,,,,,
,,9400,,10.4,-7.493069299999999,,,,,,
1196,32,9403,291,,,,,,,,
1200,32,9429,291,,,,,,,,
1204,32,9454,292,,,,,,,,
1208,32,9491,293,,,,,,,,
,,9500,,6.3,-1.9701206,,,,,,
1212,32,9533,292,,,,,,,,
1216,32,9558,292,,,,,,,,
1220,32,9592,293,,,,,,,,
,,9600,,8.5,-4.2368568,,,,,,
1224,33,9638,292,,,,,,,,
1228,33,9662,292,,,,,,,,
1232,33,9684,293,,,,,,,,
,,9700,,6.5,-3.5334797999999994,,,,,,
1236,33,9727,292,,,,,,,,
1240,33,9756,292,,,,,,,,
1244,33,9782,293,,,,,,,,
,,9800,,8.3,-4.699078500000001,,,,,,
1248,33,9807,291,,,,,,,,
1252,33,9849,292,,,,,,,,
1256,33,9890,293,,,,,,,,
,,9900,,11.8,-7.9879052,,,,,,
1260,34,9922,290,,,,,,,,
1264,34,9977,291,,,,,,,,
,,10000,,8.5,-5.248399699999999,,,,,,
1268,34,10011,289,,,,,,,,
1272,34,10053,290,,,,,,,,
1276,34,10081,291,,,,,,,,
,,10100,,9.1,-5.193605,,,,,,
1280,34,10117,289,,,,,,,,
1284,34,10170,290,,,,,,,,
1288,35,10197,291,,,,,,,,
,,10200,,7.8,-4.2754569,,,,,,
1292,35,10227,289,,,,,,,,
1296,35,10257,290,,,,,,,,
1300,35,10283,291,,,,,,,,
,,10300,,7.9,-4.221242900000001,,,,,,
1304,35,10328,289,,,,,,,,
1308,35,10367,290,,,,,,,,
,,10400,,8.6,-5.5456126,,,,,,
1312,36,10405,288,,,,,,,,
1316,36,10427,288,,,,,,,,
1320,36,10462,289,,,,,,,,
1324,36,10476,289,,,,,,,,
,,10500,,8.5,-5.607594799999999,,,,,,
1328,36,10504,288,,,,,,,,
1332,36,10532,288,,,,,,,,
1336,36,10568,289,,,,,,,,
1340,36,10588,289,,,,,,,,
,,10600,,8.6,-5.4524959,,,,,,
1344,36,10632,288,,,,,,,,
1348,36,10670,289,,,,,,,,
,,10700,,10.8,-7.861242700000001,,,,,,
1352,37,10701,286,,,,,,,,
1356,37,10744,287,,,,,,,,
1360,37,10778,288,,,,,,,,
,,10800,,4.9,-1.8175494,,,,,,
1364,37,10821,287,,,,,,,,
1368,37,10850,288,,,,,,,,
1372,37,10883,288,,,,,,,,
,,10900,,8.5,-5.872989499999999,,,,,,
1376,37,10934,287,,,,,,,,
1380,38,10958,287,,,,,,,,
1384,38,10998,288,,,,,,,,
,,11000,,7.6,-4.5914889,,,,,,
1388,38,11030,287,,,,,,,,
1392,38,11074,288,,,,,,,,
,,11100,,5.2,-2.9229701,,,,,,
1396,38,11105,286,,,,,,,,
1400,38,11149,287,,,,,,,,
1404,38,11182,288,,,,,,,,
,,11200,,6.1,-2.7046464999999995,,,,,,
1408,39,11221,287,,,,,,,,
1412,39,11253,288,,,,,,,,
1416,39,11286,288,,,,,,,,
,,11300,,8.4,-4.9664205,,,,,,
1420,39,11313,286,,,,,,,,
1424,39,11358,287,,,,,,,,
1428,39,11382,288,,,,,,,,
,,11400,,9.3,-6.3949506,,,,,,
1432,39,11400,286,,,,,,,,
1436,39,11451,287,,,,,,,,
1440,39,11483,287,,,,,,,,
,,11500,,12.1,-6.938120900000001,,,,,,
1444,40,11516,285,,,,,,,,
1448,40,11543,285,,,,,,,,
1452,40,11585,286,,,,,,,,
,,11600,,7.5,-3.2526187999999996,,,,,,
1456,40,11626,285,,,,,,,,
1460,40,11666,286,,,,,,,,
1464,40,11698,286,,,,,,,,
,,11700,,7.5,-4.117293800000001,,,,,,
1468,41,11736,285,,,,,,,,
1472,41,11769,286,,,,,,,,
1476,41,11792,286,,,,,,,,
,,11800,,7.3,-4.016895999999999,,,,,,
1480,41,11825,285,,,,,,,,
1484,41,11840,285,,,,,,,,
1488,41,11873,286,,,,,,,,
,,11900,,7.0,-3.3681966,,,,,,
1492,41,11905,284,,,,,,,,
1496,41,11927,285,,,,,,,,
1500,41,11949,285,,,,,,,,
1504,41,11978,286,,,,,,,,
,,12000,,7.0,-3.7909659000000007,,,,,,
1508,42,12004,284,,,,,,,,
1512,42,12024,285,,,,,,,,
1516,42,12044,285,,,,,,,,
1520,42,12068,285,,,,,,,,
,,12100,,11.6,-8.4591726,,,,,,
1524,42,12101,284,,,,,,,,
1528,42,12140,284,,,,,,,,
1532,42,12189,285,,,,,,,,
,,12200,,9.9,-6.214070099999999,,,,,,
1536,43,12217,283,,,,,,,,
1540,43,12237,284,,,,,,,,
1544,43,12270,284,,,,,,,,
,,12300,,6.5,-2.6239228,,,,,,
1548,43,12309,283,,,,,,,,
1552,43,12354,284,,,,,,,,
1556,43,12390,285,,,,,,,,
,,12400,,10.2,-7.935515100000001,,,,,,
1560,43,12427,283,,,,,,,,
1564,43,12444,283,,,,,,,,
1568,43,12484,284,,,,,,,,
,,12500,,10.7,-7.827717799999999,,,,,,
1572,44,12504,282,,,,,,,,
